Date,Close,High,Low,Open,Volume,Index
2005-01-03,43.24384689331055,43.67119598774212,43.11665910833022,43.416820417781466,2176500,UPS
2005-01-04,42.69437789916992,43.50329391110535,42.46035293284175,43.386279487210444,3127400,UPS
2005-01-05,42.6078987121582,42.923325747711964,42.56211298261422,42.66386163590907,2130700,UPS
2005-01-06,42.562110900878906,42.97928656932323,42.526494604359165,42.66385954919718,1773600,UPS
2005-01-07,42.48072814941406,43.18280345683187,42.404414687822936,42.7605428814269,2396900,UPS
2005-01-10,42.541744232177734,42.831732039319036,42.378944127843326,42.45525364435894,2170200,UPS
2005-01-11,42.37895584106445,42.58245311663206,42.328077640710816,42.53157879774016,1897000,UPS
2005-01-12,39.265403747558594,40.38465443523103,38.919452899856935,40.38465443523103,22627900,UPS
2005-01-13,38.71595764160156,39.41803663844071,38.56333464163079,39.138221982966726,9028300,UPS
2005-01-14,38.63962936401367,38.99575732345821,38.583666454407556,38.74138187305269,5439000,UPS
2005-01-18,38.3089599609375,38.67017278161521,38.10545874157266,38.63456035933608,6923300,UPS
2005-01-19,38.446311950683594,38.76173896010047,38.232637467592475,38.34456330581982,4839700,UPS
2005-01-20,38.268272399902344,38.665097782424525,38.21230944785801,38.44633457392329,4441100,UPS
2005-01-21,38.151241302490234,38.71595529552655,38.029142133619914,38.283517666286265,5409300,UPS
2005-01-24,38.35982131958008,38.680333011673945,38.064744845388624,38.45648135794779,5181300,UPS
2005-01-25,38.71086883544922,38.868584313805044,38.37509513215074,38.55315723855621,4594400,UPS
2005-01-26,38.41070556640625,38.77191835827509,38.15633003285389,38.71595543037656,4253900,UPS
2005-01-27,37.65266036987305,38.359823907531464,36.630069833543956,38.359823907531464,15411900,UPS
2005-01-28,37.69844055175781,37.69844055175781,37.321965976181595,37.62212714119825,7152900,UPS
2005-01-31,37.99351501464844,38.1207027317728,37.72387767537857,37.74931288992678,4107700,UPS
2005-02-01,38.273345947265625,38.334393593512694,37.91212926014427,38.08001805024922,3326100,UPS
2005-02-02,38.258079528808594,38.40053309113606,38.16141946334332,38.33948156442429,2229900,UPS
2005-02-03,38.06473922729492,38.410689967692846,37.95281341695132,38.278413657153955,2292400,UPS
2005-02-04,37.69844055175781,38.15631713365392,37.64756623853854,38.09526562891401,3524200,UPS
2005-02-07,37.718807220458984,37.98844468940896,37.47460885975307,37.67302148337524,2192200,UPS
2005-02-08,37.68827819824219,37.69336291401941,37.06760130472759,37.64757718324985,5812100,UPS
