Date,open,high,low,close,volume
2005-01-03,34.59578242835164,34.70500394448134,34.23535288338263,34.35003662109375,7859500.0
2005-01-04,34.459247474234054,34.535703974747484,34.19711715072502,34.240806579589844,6989600.0
2005-01-05,34.33366056479594,34.453804470693655,34.18075165418261,34.21897888183594,6888100.0
2005-01-06,34.268111176692656,34.453787081536866,34.235344105287226,34.3172607421875,5277500.0
2005-01-07,34.39372410088056,34.4046464608554,34.1698209294644,34.19166564941406,5037800.0
2005-01-10,34.25719298033356,34.52478555457904,34.186198691945684,34.459251403808594,5419300.0
2005-01-11,34.32271912225313,34.459245454614084,34.20257736636952,34.33910369873047,4880000.0
2005-01-12,34.37734824775636,34.62855632605515,34.16982753457461,34.57940673828125,6093800.0
2005-01-13,34.48656394255287,34.56301838097518,33.79300969179343,33.842159271240234,9014700.0
2005-01-14,34.10428023922722,34.26811143101704,33.97867625608081,34.240806579589844,6820200.0
2005-01-18,33.98413286594332,34.43740126885234,33.98413286594332,34.421016693115234,6122900.0
2005-01-19,34.42104002917954,34.55756644793177,34.21352137260018,34.306358337402344,4697100.0
2005-01-20,34.306346693395554,34.37187876885042,34.076983387689964,34.12613296508789,5274600.0
2005-01-21,34.05514926933969,34.18075332107277,33.776634216308594,33.776634216308594,6426300.0
2005-01-24,33.77660941837468,33.82029883902065,33.42164225014417,33.580013275146484,5938600.0
2005-01-25,33.80392465524851,34.868828504867714,33.80392465524851,34.79783630371094,11172300.0
2005-01-26,34.535697688022715,35.485921760591694,34.26264505700277,35.30570602416992,12781800.0
2005-01-27,35.15282045482279,35.30572936264034,35.0545212760179,35.07090377807617,6360100.0
2005-01-28,35.158265044333014,35.393090538950624,35.09273506120025,35.28933334350586,6968700.0
2005-01-31,35.458648306866486,35.47503081356176,35.141905955903226,35.33304214477539,6168900.0
2005-02-01,35.28386754079684,35.72621154785156,35.234715891983406,35.72621154785156,7340300.0
2005-02-02,35.6060788452627,36.07027187835069,35.59515856791624,36.042964935302734,7068000.0
2005-02-03,35.922814104572154,36.04295796441948,35.75352275648932,35.85182189941406,5022300.0
2005-02-04,35.75354594698737,36.17404556274414,35.748083722600384,36.17404556274414,4851300.0
2005-02-07,36.17947689332418,36.3214654409463,35.97195837484022,36.2886962890625,4892100.0
2005-02-08,36.29418254521761,36.39248173306353,36.11942889643103,36.22319030761719,6379900.0
2005-02-09,36.23956546130209,36.3050996287267,36.02658462524062,36.146728515625,4529800.0
2005-02-10,36.07572923176551,36.16310811465494,35.971972016402376,36.113956451416016,4002900.0
2005-02-11,36.19348290770966,36.687106046038245,36.144122686120845,36.52804946899414,6584400.0
2005-02-14,36.53352197484293,36.53352197484293,36.08926340502909,36.19895553588867,5217600.0
2005-02-15,36.10024420589892,36.20445469763828,35.94667349248602,36.14960861206055,4186400.0
2005-02-16,36.02345534085539,36.127665822445664,35.880852184650976,36.05636215209961,4607500.0
2005-02-17,36.03442784653349,36.03442784653349,35.83697858289592,35.842464447021484,5354200.0
2005-02-18,35.891834589367235,35.97410164195257,35.765684801254814,35.886348724365234,6185200.0
2005-02-22,35.67793626173285,36.12768100383995,35.67793626173285,35.68890380859375,8299800.0
2005-02-23,35.869895604680075,35.95216684242141,35.76568509124179,35.87538146972656,4928200.0
2005-02-24,35.84245987038867,36.1715405396024,35.6943750338132,36.138633728027344,4817000.0
2005-02-25,36.12218801809152,36.3580299817637,36.11670215349767,36.319637298583984,6456100.0
2005-02-28,36.23737649606978,36.33061529855454,35.97959518432617,35.97959518432617,6833700.0
2005-03-01,36.45673729023302,36.74193934619704,36.42383048729127,36.55546188354492,8467400.0
2005-03-02,36.500612831487935,36.82969338744741,36.26477099922781,36.72548294067383,6991900.0
2005-03-03,36.80229210762101,36.80229210762101,36.47869720354882,36.610328674316406,5791900.0
2005-03-04,36.85165705060258,37.158798548275065,36.75293239999513,37.15331268310547,8306000.0
2005-03-07,37.24106894429077,37.66887435906954,37.21364380355306,37.5372428894043,9389500.0
2005-03-08,37.323326806937374,37.51529016984296,37.29590167602765,37.40011215209961,8537100.0
2005-03-09,37.35075365232422,37.35623951627007,37.13136512385995,37.16427612304688,6375500.0
2005-03-10,37.22459515420376,37.443979422042666,37.18620248888328,37.295894622802734,5041700.0
2005-03-11,37.301404918209,37.433036402031625,37.0161984880223,37.07653045654297,5807000.0
2005-03-14,37.07102814026641,37.20266375016384,37.0161820617196,37.19717788696289,5589000.0
2005-03-15,37.208158017706914,37.21364388276393,36.89004898071289,36.89004898071289,5014000.0
2005-03-16,36.802273695445216,36.99423703271057,36.77485275268555,36.77485275268555,5408700.0
2005-03-17,36.654198091622696,36.950371965408216,36.64322636417436,36.74195098876953,4405800.0
2005-03-18,36.747457511362974,36.88457489013672,36.56097988478604,36.88457489013672,10640700.0
2005-03-21,36.884564975565965,36.884564975565965,36.5609700571976,36.66517639160156,5178600.0
2005-03-22,36.55548162696447,36.87359484216812,36.55548162696447,36.632266998291016,5072300.0
2005-03-23,36.65418634823161,37.40558624267578,36.64870048626503,37.40558624267578,9565500.0
2005-03-24,37.405596379336586,37.581106349449776,37.27396494787364,37.34526443481445,8876600.0
2005-03-28,37.42205563627672,37.57014048020649,37.38914463857949,37.48786926269531,5145100.0
2005-03-29,37.323336919532274,37.36172960251572,37.13136932012643,37.25203323364258,9428000.0
2005-03-30,37.25752734842774,37.43303739300069,37.24107393557552,37.32334518432617,6516300.0
2005-03-31,36.95586482514489,36.99974337923717,36.74744796994046,36.835205078125,12551500.0
2005-04-01,36.92295766392305,36.99425717530357,36.55548419186396,36.66517639160156,11052700.0
2005-04-04,36.72000073914992,37.34525511314016,36.66515467177102,37.28492736816406,8684900.0
2005-04-05,37.28494604687619,37.87180804925393,37.17524967267687,37.84986877441406,9114300.0
2005-04-06,37.904711981666125,37.95407220792892,37.652416616960906,37.74016952514648,5689800.0
2005-04-07,37.62498560726345,37.9814914177573,37.55368611895982,37.97600555419922,4975300.0
2005-04-08,38.09666375181367,38.10763547729004,37.64691925048828,37.64691925048828,4822800.0
2005-04-11,37.73468213959909,37.986977466156326,37.67983187272711,37.78404235839844,4449500.0
2005-04-12,37.4494700367857,37.68531192068116,37.21362815289024,37.64691925048828,9775400.0
2005-04-13,37.54271385577766,37.838887716367175,37.54271385577766,37.61949920654297,7138400.0
2005-04-14,37.62498150256905,37.986973137129525,37.4220506024252,37.98148727416992,8069600.0
2005-04-15,38.33251523816503,38.38736132582444,38.00892039183279,38.06376647949219,12990700.0
2005-04-18,38.00891326840805,38.01439494700486,37.55368287562414,37.866310119628906,9164900.0
2005-04-19,38.3215401800964,38.3654145309278,37.52077574072102,37.87179565429688,9343700.0
2005-04-20,37.87179432835711,37.92664040334171,37.21362887508001,37.35074615478516,7882400.0
2005-04-21,37.47691440590256,37.55918565126295,37.2026797110275,37.45497512817383,7696200.0
2005-04-22,37.47689098827057,37.72370038564223,37.2904093363451,37.56464385986328,7021900.0
2005-04-25,37.84437833069428,38.11861295627903,37.53723688907564,37.59208297729492,5981500.0
2005-04-26,37.51528662458646,37.67434316295926,37.29589815150372,37.30686569213867,5866900.0
2005-04-27,37.2081490831537,37.51529468525877,37.12039618575795,37.47690200805664,5966400.0
2005-04-28,37.350748170920426,37.48237959488618,37.0874853229889,37.10942459106445,6406300.0
2005-04-29,37.19717884303585,37.64143753051758,37.180725437497664,37.64143753051758,6540900.0
2005-05-02,37.66886683511107,37.7511380564024,37.48787098516776,37.72371292114258,4361200.0
2005-05-03,37.7456683792358,37.75115424553794,37.4714336469878,37.69630813598633,5716300.0
2005-05-04,37.37816464789053,37.43301071313701,37.10393013717157,37.41655731201172,8439700.0
2005-05-05,37.433030808899545,37.62499423256024,37.24106738523884,37.57563400268555,6279600.0
2005-05-06,37.77307489803779,37.77307489803779,37.37817640883093,37.41108322143555,4731000.0
2005-05-09,37.35074459872792,37.45495506599829,37.16974879278058,37.389137268066406,6766100.0
2005-05-10,37.29589669712454,37.378167894383225,36.999722897685416,37.14781188964844,6870600.0
2005-05-11,37.19718271533484,37.3562392929082,36.87906956018812,37.26848220825195,4969700.0
2005-05-12,37.33977712074263,37.37268392752033,36.88454676604465,37.10393524169922,4845300.0
2005-05-13,37.01023320666583,37.13699709824187,36.79528208182061,36.98267364501953,5954700.0
2005-05-16,36.98819485156008,37.28030776977539,36.98268209697119,37.28030776977539,3943500.0
2005-05-17,37.1039452452882,37.45117316717572,36.96615578668196,37.42913055419922,5294400.0
2005-05-18,37.47874192184226,37.52283556859776,37.19214162793477,37.258277893066406,8495100.0
2005-05-19,37.230718594921925,37.329927187168245,37.07639084753786,37.15355682373047,8134400.0
2005-05-20,37.28583487123491,37.28583487123491,36.977183570489885,37.03781127929688,6191100.0
2005-05-23,37.092927710111184,37.24725124664047,36.94962548119072,37.07088088989258,5877000.0
2005-05-24,37.09293302523571,37.30788429691673,37.07088620185796,37.258277893066406,8353300.0
2005-05-25,37.26929331896893,37.31338274878842,37.03780383866443,37.18661880493164,4725900.0
2005-05-26,37.478737843269016,37.478737843269016,37.131509874109724,37.15906524658203,5032300.0
2005-05-27,37.203150731739605,37.30235930189092,37.16456985473633,37.16456985473633,4409900.0
2005-05-31,37.30234605812223,37.307858811451226,36.98267364501953,36.98267364501953,6398300.0
2005-06-01,36.98268419591037,37.26377582590087,36.95512883140145,37.098426818847656,4966200.0
2005-06-02,37.06535595566479,37.06535595566479,36.85591753990104,36.92756652832031,6761600.0
2005-06-03,36.833870541735294,36.90000677532838,36.57482574683014,36.618919372558594,6526000.0
2005-06-06,36.70160003785831,36.77325325116894,36.54176795816716,36.58585739135742,7041700.0
2005-06-07,36.77876690475331,36.894509554078816,36.6575114992692,36.67404556274414,5520700.0
2005-06-08,36.84489906803583,36.84489906803583,36.51420522024876,36.574832916259766,5296300.0
2005-06-09,36.55280126003896,36.85042710799341,36.45910540188724,36.77877807617188,5228900.0
2005-06-10,36.65198962732912,36.76773224786807,36.22760001868629,36.64096832275391,5248400.0
2005-06-13,36.5142045102381,36.90001329098765,36.503183204359686,36.63545989990234,5413400.0
2005-06-14,36.60238726293586,36.81733844355694,36.57482769413837,36.696083068847656,3981700.0
2005-06-15,36.679562418594166,36.679562418594166,36.392957936324905,36.56932830810547,4655300.0
2005-06-16,36.470117715910696,36.69609447629848,36.4370495870739,36.541770935058594,4434800.0
2005-06-17,36.78977608654686,36.78977608654686,36.05122679474478,36.685054779052734,14288000.0
2005-06-20,36.58585015702016,36.817339609248926,36.48664159320781,36.67955017089844,8199500.0
2005-06-21,36.56932473794163,36.76222915621242,36.48665021439673,36.66853332519531,8668900.0
2005-06-22,36.73465711134486,36.74567841381455,36.359869752389685,36.37640380859375,8873100.0
2005-06-23,36.31027089236636,36.43152626961924,35.92997490598222,36.018157958984375,8927500.0
2005-06-24,36.211071863825175,36.53625720707771,35.82526302098421,36.14493560791016,18319900.0
2005-06-27,36.111864236903365,36.326819689356206,36.095330172484175,36.18351745605469,6900200.0
2005-06-28,35.511094889899155,36.43152734624684,35.511094889899155,36.41499328613281,6071700.0
2005-06-29,36.34884133826545,36.37088814644089,36.04570718710022,36.21105194091797,7808300.0
2005-06-30,36.16698724448528,36.2000553768464,35.610316521397685,35.82526779174805,9344300.0
2005-07-01,35.72604616425179,36.06225273735028,35.72604616425179,35.79769515991211,6718200.0
2005-07-05,35.494553523764424,35.96303668556505,35.48352801595782,35.74257278442383,6384100.0
2005-07-06,35.770164878330995,35.78669895007782,35.35679626464844,35.35679626464844,6661400.0
2005-07-07,35.329219573789665,35.329219573789665,35.00954909391397,35.230010986328125,8278900.0
2005-07-08,35.218978788156285,35.43944271489741,35.0150489200458,35.42841720581055,8144900.0
2005-07-11,35.42842674521097,35.72605249569977,35.33473091774249,35.70951843261719,6528500.0
2005-07-12,35.70952276646246,35.82526542708828,35.61031417092586,35.704010009765625,5141600.0
2005-07-13,35.615822627113964,35.76463339994975,35.4670076492774,35.50558853149414,6809800.0
2005-07-14,35.65990848837274,35.759117061992654,35.45047003517532,35.604793548583984,6521400.0
2005-07-15,35.588257175048376,35.907929692055184,35.588257175048376,35.84178924560547,6444500.0
2005-07-18,35.74258300055606,35.86383839109155,35.52211903640067,35.604793548583984,5938000.0
2005-07-19,35.577243957883425,35.8583314579465,35.549684381014,35.83628463745117,11069400.0
2005-07-20,35.75361283654543,35.80321502685547,35.46700838697344,35.80321502685547,7312600.0
2005-07-21,35.75360513634338,35.75360513634338,35.2630729675293,35.2630729675293,9850100.0
2005-07-22,35.494548326685994,35.494548326685994,35.27408445782488,35.45045471191406,5398400.0
2005-07-25,35.41188519098269,35.433932005429206,34.88828491162771,34.91033172607422,6741900.0
2005-07-26,34.63474402885376,34.926856887096584,34.541046142578125,34.541046142578125,12640400.0
2005-07-27,34.77805165263818,35.69848404540934,34.73396012787962,35.571720123291016,10789500.0
2005-07-28,35.53865936206543,35.73707231580159,35.34024220332867,35.676448822021484,6391600.0
2005-07-29,35.648890452709885,35.70400539755468,35.24103271235713,35.25205612182617,6143200.0
2005-08-01,35.41189314967902,36.01816596571616,35.41189314967902,35.5496826171875,7348200.0
2005-08-02,35.626827755969245,35.66540862066635,35.36778300514632,35.621315002441406,5554800.0
2005-08-03,35.483538348696705,35.8307704607322,35.44495747013725,35.75360870361328,5090400.0
2005-08-04,35.68197755567728,35.79772026290804,35.34026219290161,35.35679626464844,4049200.0
2005-08-05,35.285110719389785,35.3181830376173,35.02055740356445,35.02055740356445,5019400.0
2005-08-08,35.02055968727817,35.097721426508926,34.84970004862458,34.9654426574707,4002000.0
2005-08-09,35.064648677814,35.28511047363281,34.97095288765341,35.28511047363281,4601200.0
2005-08-10,35.36229477040395,35.63787373511719,35.136318000938466,35.19143295288086,5351200.0
2005-08-11,35.191425642882216,35.549679063592926,35.13631070238836,35.4449577331543,4688300.0
2005-08-12,35.29062839393222,35.36779013889008,34.981981414100765,35.031585693359375,4850200.0
2005-08-15,34.95444011505558,35.048138070404704,34.73397817173588,34.91585922241211,5402600.0
2005-08-16,34.89929510989974,34.93236531905285,34.63473974417235,34.72843551635742,5432300.0
2005-08-17,34.844200185912584,35.15284723840383,34.81664061122556,34.9985237121582,5578500.0
2005-08-18,34.97095477522771,35.51660179664246,34.8993036890319,35.41188049316406,9326100.0
2005-08-19,35.411898863257456,35.53932151418455,35.21245940011617,35.21799850463867,6121400.0
2005-08-22,35.45621232160433,35.48945116810867,35.079489896618895,35.1792106628418,5380900.0
2005-08-23,35.19027724402995,35.22351819091151,34.58641377914998,34.76923370361328,8909000.0
2005-08-24,34.73047031539148,34.86897115713737,34.42576888622155,34.48670959472656,8021300.0
2005-08-25,34.65290313362992,35.013006094265094,34.59750365354206,34.641822814941406,6143000.0
2005-08-26,34.54210556722341,34.57534652666396,34.314964294433594,34.314964294433594,5206200.0
2005-08-29,34.22632532821141,34.968689880955544,34.15430641634396,34.90774917602539,6364800.0
2005-08-30,34.719372941089595,34.935435923306315,34.54209211979954,34.90219497680664,7581500.0
2005-08-31,34.90220233024507,35.179203936040665,34.381440072156984,35.118263244628906,8006900.0
2005-09-01,35.00191619364264,35.306617477421895,34.84125478667307,34.97421646118164,6161300.0
2005-09-02,35.096097662511305,35.22352024297031,34.81909609575634,34.846797943115234,4130400.0
2005-09-06,35.040685473999,35.46726587219228,35.018524849498355,35.339847564697266,7373700.0
2005-09-07,35.45621351754396,35.949276148635505,35.42297255656346,35.899417877197266,7817400.0
2005-09-08,36.01020416664931,36.01020416664931,35.42850129124352,35.511600494384766,6475900.0
2005-09-09,35.65011748511121,35.99914232770685,35.511616636896555,35.86064147949219,5124300.0
2005-09-12,35.86063337261935,35.98251054105917,35.74983018307019,35.83293151855469,5923500.0
2005-09-13,35.73875827714782,35.84401604238644,35.456215377380445,35.483917236328125,6670100.0
2005-09-14,35.71660083076004,35.84956046684174,35.528237471826216,35.62242126464844,7406200.0
2005-09-15,35.6667384679896,35.72767918200183,35.544861266675795,35.66120147705078,4896200.0
2005-09-16,35.77754596000705,36.13210785112352,35.650123299116224,36.10994720458984,12995300.0
2005-09-19,36.11546545102431,36.12100243910247,35.7332019382084,35.81630325317383,7212500.0
2005-09-20,35.8606289242939,35.89940897914826,35.622407379700235,35.67780685424805,5301000.0
2005-09-21,35.428516606775524,36.1819594290612,35.40635596434957,35.844017028808594,7173600.0
2005-09-22,35.71105012340536,36.19303448784783,35.6833524960502,35.83293151855469,7239000.0
2005-09-23,35.954818937820576,35.960360154903825,35.39527436029852,35.45067596435547,7814400.0
2005-09-26,35.58365242296612,35.70552966225105,35.32326794620078,35.38420867919922,5981900.0
2005-09-27,35.40081022849906,35.428509969664695,34.974227451813064,35.15150833129883,6244000.0
2005-09-28,35.05177656098273,35.240137700432484,34.9575949345808,35.01853561401367,5573200.0
2005-09-29,34.87451618649613,35.373118003271514,34.84681643779006,35.317718505859375,6285300.0
2005-09-30,35.40080697745575,35.42296550034045,34.902203228844705,35.05732345581055,5646500.0
2005-10-03,35.001922407033774,35.04070246203407,34.63073916343232,34.66952133178711,6826600.0
2005-10-04,34.84680191156935,35.057321604662654,34.59750005042783,34.929901123046875,6950300.0
2005-10-05,34.84681262860793,35.00747199888326,34.4700901699907,34.48670959472656,6667700.0
2005-10-06,34.663980936253346,34.6750612541376,33.893916806811404,34.10997772216797,12716200.0
2005-10-07,34.23740019013089,34.23740019013089,33.86067781367247,33.98255920410156,11685000.0
2005-10-10,33.94931491479799,34.44237741732795,33.53381252097776,34.0545768737793,7672600.0
2005-10-11,34.10998092549391,34.17092162290307,33.83852050857732,33.95486068725586,7801000.0
