Date,Close,High,Low,Open,Volume,Index
2005-01-03,28.85529136657715,29.159620713991984,28.68139023618308,28.979507475098004,10238100,BAC
2005-01-04,28.45778465270996,29.02296535685951,28.408099660625584,28.824220650074423,10264100,BAC
2005-01-05,28.12861442565918,28.53231357835937,28.10377074478488,28.345990710249758,14796100,BAC
2005-01-06,28.085140228271484,28.33978204378004,27.942292611690966,28.209353898881393,14602200,BAC
2005-01-07,27.78080940246582,28.172089075521328,27.77459966699296,28.134823555012883,10547200,BAC
2005-01-10,28.12861442565918,28.159667842140145,27.80565368196474,27.811863417571406,11488600,BAC
2005-01-11,28.06031036376953,28.215579897712825,27.923672415747415,28.041678777848357,8900700,BAC
2005-01-12,27.985780715942383,28.159681829997353,27.78703590867242,28.060309426362373,9709300,BAC
2005-01-13,27.63797950744629,28.04168127940247,27.575872636018545,28.01062547446332,12200500,BAC
2005-01-14,27.880189895629883,27.954718589185433,27.700076714414884,27.855346208036547,11224200,BAC
2005-01-18,28.401905059814453,28.5571746057587,27.7684050280549,27.973361965929424,15553300,BAC
2005-01-19,27.929880142211914,28.184522043161508,27.89882434491526,28.103781234794653,10838600,BAC
2005-01-20,28.141050338745117,28.30252960673225,27.892618144214914,27.905039990863923,11086700,BAC
2005-01-21,28.004423141479492,28.259065172440135,27.960947846136886,28.11000532467556,8258900,BAC
2005-01-24,28.085140228271484,28.345991779620977,28.0354528646484,28.041664969713235,7088400,BAC
2005-01-25,28.31495475769043,28.507489849381116,28.09136623036583,28.09136623036583,7370000,BAC
2005-01-26,28.42674446105957,28.519904753016288,28.277684677013976,28.401900768847824,7771400,BAC
2005-01-27,28.277671813964844,28.432941265821402,28.165877619090214,28.296305759259823,5700200,BAC
2005-01-28,28.383262634277344,28.420525794770832,28.203149461144346,28.215571304383623,6836900,BAC
2005-01-31,28.79938507080078,28.836650602264847,28.507480033284534,28.538533458225693,10799200,BAC
2005-02-01,28.991918563842773,29.066447253607276,28.77454223151951,28.793173811654555,8110400,BAC
2005-02-02,29.02297019958496,29.035392041984693,28.818015723049882,28.849069144437113,7091700,BAC
2005-02-03,28.81802749633789,28.942241232632977,28.718655085766734,28.849080930411663,7452400,BAC
